[[0, 0, 1.0, 0.08, 0.05, 0.0, 1.0, 0.08, 0.05, 0.0], [1, 1, 1, 0, 1, 0], 0, [0, 0, 1.0, 0.046, 0.073, 0.01, 0.95, 0.066, 0.09, 0.01]]
[[0, 0, 1.0, 0.046, 0.073, 0.01, 0.95, 0.066, 0.09, 0.01], [1, 1, 1, 0, 1, 0], 0, [0, 0, 1.0, 0.04, 0.075, 0.02, 0.85, 0.076, 0.12, 0.02]]
[[0, 0, 1.0, 0.04, 0.075, 0.02, 0.85, 0.076, 0.12, 0.02], [1, 1, 1, 0, 0, 0], 0, [0, 0, 1.0, 0.026, 0.106, 0.03, 0.85, 0.086, 0.14300000000000002, 0.03]]
[[0, 0, 1.0, 0.026, 0.106, 0.03, 0.85, 0.086, 0.14300000000000002, 0.03], [1, 1, 1, 0, 0, 1], 0, [0, 0, 1.0, 0.044, 0.062, 0.04, 0.675, 0.096, 0.16, 0.04]]
[[0, 0, 1.0, 0.044, 0.062, 0.04, 0.675, 0.096, 0.16, 0.04], [1, 1, 1, 0, 0, 1], 0, [0, 0, 1.0, 0.038, 0.067, 0.05, 0.575, 0.106, 0.17300000000000001, 0.05]]
[[0, 0, 1.0, 0.038, 0.067, 0.05, 0.575, 0.106, 0.17300000000000001, 0.05], [1, 1, 1, 0, 1, 0], 0, [0, 0, 1.0, 0.032, 0.07, 0.06, 0.475, 0.116, 0.182, 0.06]]
[[0, 0, 1.0, 0.032, 0.07, 0.06, 0.475, 0.116, 0.182, 0.06], [1, 1, 1, 0, 0, 0], 0, [0, 0, 1.0, 0.036, 0.10300000000000001, 0.07, 0.475, 0.126, 0.18899999999999997, 0.07]]
[[0, 0, 1.0, 0.036, 0.10300000000000001, 0.07, 0.475, 0.126, 0.18899999999999997, 0.07], [1, 1, 1, 0, 0, 0], 0, [0, 0, 1.0, 0.03, 0.127, 0.08, 0.475, 0.136, 0.19399999999999998, 0.08]]
[[0, 0, 1.0, 0.03, 0.127, 0.08, 0.475, 0.136, 0.19399999999999998, 0.08], [1, 1, 1, 0, 1, 0], 0, [0, 0, 1.0, 0.056, 0.063, 0.09, 0.25, 0.146, 0.198, 0.09]]
[[0, 0, 1.0, 0.056, 0.063, 0.09, 0.25, 0.146, 0.198, 0.09], [1, 1, 1, 0, 1, 1], 0, [0, 0, 1.0, 0.064, 0.077, 0.1, 0.15, 0.156, 0.21100000000000002, 0.1]]
[[0, 0, 1.0, 0.064, 0.077, 0.1, 0.15, 0.156, 0.21100000000000002, 0.1], [1, 1, 1, 0, 0, 1], 1, [0, 0, 1.0, 0.072, 0.08800000000000001, 0.11, 0.05, 0.166, 0.221, 0.11]]
[[0, 0, 1.0, 0.072, 0.08800000000000001, 0.11, 0.05, 0.166, 0.221, 0.11], [1, 1, 1, 0, 0, 1], 1, None]
], 1, None]
, None]
0, 0.925, 0.026, 0.10099999999999999, 0.12, 0.875, 0.09, 0.071, 0.12], [1, 1, 1, 0, 1, 1], 0, [0, 0, 0.925, 0.03, 0.106, 0.13, 0.875, 0.1, 0.068, 0.13]]
[[0, 0, 0.925, 0.03, 0.106, 0.13, 0.875, 0.1, 0.068, 0.13], [1, 1, 1, 0, 0, 0], 0, [0, 0, 0.925, 0.034, 0.14, 0.14, 0.875, 0.11, 0.066, 0.14]]
[[0, 0, 0.925, 0.034, 0.14, 0.14, 0.875, 0.11, 0.066, 0.14], [1, 1, 1, 0, 0, 1], 0, [0, 0, 0.925, 0.038, 0.083, 0.15, 0.875, 0.12, 0.065, 0.15]]
[[0, 0, 0.925, 0.038, 0.083, 0.15, 0.875, 0.12, 0.065, 0.15], [1, 1, 1, 0, 0, 1], 0, [0, 0, 0.925, 0.024, 0.092, 0.16, 0.875, 0.13, 0.064, 0.16]]
